Atleta,Squadra,Set_andata_1,Set_andata_2,Set_andata_3,Set_andata_4,Set_andata_5,Set_andata_6,Set_andata_7,Set_andata_8,Set_andata_9,Set_andata_10,Set_andata_11,Set_andata_12,Set_andata_13,Set_ritorno_1,Set_ritorno_2,Set_ritorno_3,Set_ritorno_4,Set_ritorno_5,Set_ritorno_6,Set_ritorno_7,Set_ritorno_8,Set_ritorno_9,Set_ritorno_10,Set_ritorno_11,Set_ritorno_12,Set_ritorno_13,ACE_andata_1,ACE_andata_2,ACE_andata_3,ACE_andata_4,ACE_andata_5,ACE_andata_6,ACE_andata_7,ACE_andata_8,ACE_andata_9,ACE_andata_10,ACE_andata_11,ACE_andata_12,ACE_andata_13,ACE_ritorno_1,ACE_ritorno_2,ACE_ritorno_3,ACE_ritorno_4,ACE_ritorno_5,ACE_ritorno_6,ACE_ritorno_7,ACE_ritorno_8,ACE_ritorno_9,ACE_ritorno_10,ACE_ritorno_11,ACE_ritorno_12,ACE_ritorno_13,DiffSet_andata_1,DiffSet_andata_2,DiffSet_andata_3,DiffSet_andata_4,DiffSet_andata_5,DiffSet_andata_6,DiffSet_andata_7,DiffSet_andata_8,DiffSet_andata_9,DiffSet_andata_10,DiffSet_andata_11,DiffSet_andata_12,DiffSet_andata_13,DiffSet_ritorno_1,DiffSet_ritorno_2,DiffSet_ritorno_3,DiffSet_ritorno_4,DiffSet_ritorno_5,DiffSet_ritorno_6,DiffSet_ritorno_7,DiffSet_ritorno_8,DiffSet_ritorno_9,DiffSet_ritorno_10,DiffSet_ritorno_11,DiffSet_ritorno_12,DiffSet_ritorno_13,DiffAce_andata_1,DiffAce_andata_2,DiffAce_andata_3,DiffAce_andata_4,DiffAce_andata_5,DiffAce_andata_6,DiffAce_andata_7,DiffAce_andata_8,DiffAce_andata_9,DiffAce_andata_10,DiffAce_andata_11,DiffAce_andata_12,DiffAce_andata_13,DiffAce_ritorno_1,DiffAce_ritorno_2,DiffAce_ritorno_3,DiffAce_ritorno_4,DiffAce_ritorno_5,DiffAce_ritorno_6,DiffAce_ritorno_7,DiffAce_ritorno_8,DiffAce_ritorno_9,DiffAce_ritorno_10,DiffAce_ritorno_11,DiffAce_ritorno_12,DiffAce_ritorno_13
Sabbi Giulio,Exprivia Molfetta,4,7,11,16,19,23,27,30,35,39,43,47,52,54,57,60,64,67,72,77,81,84,88,92,97,100,3,4,6,6,7,7,8,13,15,20,22,22,24,24,26,30,31,35,41,44,44,44,46,50,57,57,4,3,4,5,3,4,4,3,5,4,4,4,5,2,3,3,4,3,5,5,4,3,4,4,5,3,3,1,2,0,1,0,1,5,2,5,2,0,2,0,2,4,1,4,6,3,0,0,2,4,7,0
Hernandez Ramos Fernando,LPR Piacenza,4,7,12,17,21,26,29,33,37,40,43,47,51,55,59,62,66,69,73,78,83,87,90,95,99,104,1,2,5,6,8,11,14,16,21,25,27,27,32,32,35,36,38,40,41,44,46,48,49,50,53,56,4,3,5,5,4,5,3,4,4,3,3,4,4,4,4,3,4,3,4,5,5,4,3,5,4,5,1,1,3,1,2,3,3,2,5,4,2,0,5,0,3,1,2,2,1,3,2,2,1,1,3,3
Vettori Luca,Azimut Modena,3,7,12,15,18,21,25,28,32,36,41,45,50,53,58,62,65,70,73,78,81,86,90,93,97,101,5,9,9,11,11,14,14,14,14,16,19,23,26,26,31,32,34,36,37,38,38,42,44,45,46,47,3,4,5,3,3,3,4,3,4,4,5,4,5,3,5,4,3,5,3,5,3,5,4,3,4,4,5,4,0,2,0,3,0,0,0,2,3,4,3,0,5,1,2,2,1,1,0,4,2,1,1,1
Miskevich Radzivon,Biosì Indexa Sora,3,6,9,13,16,20,23,26,31,34,39,44,49,52,56,59,62,66,70,75,79,83,88,92,95,98,2,2,4,5,7,9,11,12,16,18,21,21,22,22,22,25,27,28,29,33,34,37,40,44,44,44,3,3,3,4,3,4,3,3,5,3,5,5,5,3,4,3,3,4,4,5,4,4,5,4,3,3,2,0,2,1,2,2,2,1,4,2,3,0,1,0,0,3,2,1,1,4,1,3,3,4,0,0
Zaytsev Ivan,Sir Safety Conad Perugia,4,8,11,16,21,25,29,34,35,38,41,44,47,51,55,56,59,63,66,71,75,78,80,84,87,90,3,4,5,9,10,10,10,14,14,18,21,26,26,27,32,32,36,37,38,39,39,40,41,42,42,42,4,4,3,5,5,4,4,5,1,3,3,3,3,4,4,1,3,4,3,5,4,3,2,4,3,3,3,1,1,4,1,0,0,4,0,4,3,5,0,1,5,0,4,1,1,1,0,1,1,1,0,0
Juantorena Osmany,Cucine Lube Civitanova,3,6,10,12,15,20,23,28,31,35,38,42,47,50,54,57,60,63,67,67,71,74,77,81,81,85,1,1,6,8,8,8,10,12,12,12,13,14,15,17,21,25,31,34,34,34,36,36,39,40,40,41,3,3,4,2,3,5,3,5,3,4,3,4,5,3,4,3,3,3,4,0,4,3,3,4,0,4,1,0,5,2,0,0,2,2,0,0,1,1,1,2,4,4,6,3,0,0,2,0,3,1,0,1
Geiler Baptiste,Tonno Callipo Calabria Vibo Valentia,3,6,10,15,20,23,26,30,34,39,41,43,48,53,57,60,63,67,70,74,79,83,86,90,93,97,1,1,2,5,5,5,5,9,11,12,13,13,14,15,15,17,20,24,25,25,26,29,30,32,34,40,3,3,4,5,5,3,3,4,4,5,2,2,5,5,4,3,3,4,3,4,5,4,3,4,3,4,1,0,1,3,0,0,0,4,2,1,1,0,1,1,0,2,3,4,1,0,1,3,1,2,2,6
Hoag Nicholas,Revivre Milano,4,8,11,16,19,24,27,30,34,37,40,40,40,44,49,52,55,58,62,62,65,69,74,77,80,83,2,3,5,7,8,12,14,15,17,17,19,19,19,20,24,27,28,30,32,32,33,33,33,35,37,39,4,4,3,5,3,5,3,3,4,3,3,0,0,4,5,3,3,3,4,0,3,4,5,3,3,3,2,1,2,2,1,4,2,1,2,0,2,0,0,1,4,3,1,2,2,0,1,0,0,2,2,2
Barreto Silva Carlos Eduardo,Tonno Callipo Calabria Vibo Valentia,2,5,8,NA,NA,21,24,28,32,37,42,46,51,56,60,63,66,70,72,72,77,81,84,88,92,96,2,2,2,NA,NA,6,6,8,8,9,10,12,12,15,17,23,24,28,28,28,30,32,32,32,34,36,2,3,3,NA,NA,NA,3,4,4,5,5,4,5,5,4,3,3,4,2,0,5,4,3,4,4,4,2,0,0,NA,NA,NA,0,2,0,1,1,2,0,3,2,6,1,4,0,0,2,2,0,0,2,2
Holt Maxwell Philip,Azimut Modena,3,7,12,15,18,21,25,28,32,36,41,45,50,50,55,59,62,67,70,75,77,82,86,89,93,97,3,3,4,7,10,11,12,15,18,18,21,23,23,23,23,26,26,30,30,30,30,31,31,31,34,35,3,4,5,3,3,3,4,3,4,4,5,4,5,0,5,4,3,5,3,5,2,5,4,3,4,4,3,0,1,3,3,1,1,3,3,0,3,2,0,0,0,3,0,4,0,0,0,1,0,0,3,1
