Atleta,Squadra,Set_andata_1,Set_andata_2,Set_andata_3,Set_andata_4,Set_andata_5,Set_andata_6,Set_andata_7,Set_andata_8,Set_andata_9,Set_andata_10,Set_andata_11,Set_andata_12,Set_andata_13,Set_ritorno_1,Set_ritorno_2,Set_ritorno_3,Set_ritorno_4,Set_ritorno_5,Set_ritorno_6,Set_ritorno_7,Set_ritorno_8,Set_ritorno_9,Set_ritorno_10,Set_ritorno_11,Set_ritorno_12,Set_ritorno_13,Muri_andata_1,Muri_andata_2,Muri_andata_3,Muri_andata_4,Muri_andata_5,Muri_andata_6,Muri_andata_7,Muri_andata_8,Muri_andata_9,Muri_andata_10,Muri_andata_11,Muri_andata_12,Muri_andata_13,Muri_ritorno_1,Muri_ritorno_2,Muri_ritorno_3,Muri_ritorno_4,Muri_ritorno_5,Muri_ritorno_6,Muri_ritorno_7,Muri_ritorno_8,Muri_ritorno_9,Muri_ritorno_10,Muri_ritorno_11,Muri_ritorno_12,Muri_ritorno_13,DiffSet_andata_1,DiffSet_andata_2,DiffSet_andata_3,DiffSet_andata_4,DiffSet_andata_5,DiffSet_andata_6,DiffSet_andata_7,DiffSet_andata_8,DiffSet_andata_9,DiffSet_andata_10,DiffSet_andata_11,DiffSet_andata_12,DiffSet_andata_13,DiffSet_ritorno_1,DiffSet_ritorno_2,DiffSet_ritorno_3,DiffSet_ritorno_4,DiffSet_ritorno_5,DiffSet_ritorno_6,DiffSet_ritorno_7,DiffSet_ritorno_8,DiffSet_ritorno_9,DiffSet_ritorno_10,DiffSet_ritorno_11,DiffSet_ritorno_12,DiffSet_ritorno_13,DiffMuri_andata_1,DiffMuri_andata_2,DiffMuri_andata_3,DiffMuri_andata_4,DiffMuri_andata_5,DiffMuri_andata_6,DiffMuri_andata_7,DiffMuri_andata_8,DiffMuri_andata_9,DiffMuri_andata_10,DiffMuri_andata_11,DiffMuri_andata_12,DiffMuri_andata_13,DiffMuri_ritorno_1,DiffMuri_ritorno_2,DiffMuri_ritorno_3,DiffMuri_ritorno_4,DiffMuri_ritorno_5,DiffMuri_ritorno_6,DiffMuri_ritorno_7,DiffMuri_ritorno_8,DiffMuri_ritorno_9,DiffMuri_ritorno_10,DiffMuri_ritorno_11,DiffMuri_ritorno_12,DiffMuri_ritorno_13
Sokolov Tsvetan,Cucine Lube Civitanova,3,6,10,14,17,22,25,30,34,37,40,44,49,52,56,59,62,65,69,73,77,80,83,88,91,95,2,6,10,13,14,16,19,20,25,29,30,30,37,38,41,44,45,46,47,48,50,53,56,57,58,58,3,3,4,4,3,5,3,5,4,3,3,4,5,3,4,3,3,3,4,4,4,3,3,5,3,4,2,4,4,3,1,2,3,1,5,4,1,0,7,1,3,3,1,1,1,1,2,3,3,1,1,0
Podrascanin Marko,Sir Safety Conad Perugia,4,8,11,16,21,25,29,34,35,38,41,44,47,51,55,58,61,65,68,73,76,79,83,87,90,93,4,6,9,13,18,21,24,25,25,28,29,31,33,34,37,40,43,46,47,49,49,50,51,52,53,55,4,4,3,5,5,4,4,5,1,3,3,3,3,4,4,3,3,4,3,5,3,3,4,4,3,3,4,2,3,4,5,3,3,1,0,3,1,2,2,1,3,3,3,3,1,2,0,1,1,1,1,2
Zingel Aidan,Calzedonia Verona,3,6,11,16,20,24,27,30,33,38,41,44,47,51,54,57,60,63,67,71,74,77,80,85,88,91,3,6,10,14,19,19,19,20,21,23,23,24,26,29,31,32,35,38,41,44,47,49,52,53,53,55,3,3,5,5,4,4,3,3,3,5,3,3,3,4,3,3,3,3,4,4,3,3,3,5,3,3,3,3,4,4,5,0,0,1,1,2,0,1,2,3,2,1,3,3,3,3,3,2,3,1,0,2
Ricci Fabio,Bunge Ravenna,3,6,11,16,20,24,27,32,36,39,42,46,51,55,59,63,66,69,74,77,81,83,86,89,93,96,1,3,8,11,11,12,13,14,18,21,22,28,30,36,40,43,44,45,47,48,50,50,51,52,54,55,3,3,5,5,4,4,3,5,4,3,3,4,5,4,4,4,3,3,5,3,4,2,3,3,4,3,1,2,5,3,0,1,1,1,4,3,1,6,2,6,4,3,1,1,2,1,2,0,1,1,2,1
Giannelli Simone,Diatec Trentino,3,6,11,14,18,22,26,29,32,36,41,46,51,56,60,64,67,70,73,76,79,82,85,88,91,94,1,2,5,6,6,8,10,10,12,16,21,22,29,32,35,39,39,41,41,42,43,48,49,51,55,55,3,3,5,3,4,4,4,3,3,4,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,1,1,3,1,0,2,2,0,2,4,5,1,7,3,3,4,0,2,0,1,1,5,1,2,4,0
Rossi Andrea,Top Volley Latina,2,7,11,14,17,20,24,28,33,38,41,46,51,55,59,62,65,70,73,78,83,87,90,94,97,101,3,9,13,15,16,16,17,19,19,23,23,26,28,31,33,33,34,38,39,40,42,44,46,48,48,53,2,5,4,3,3,3,4,4,5,5,3,5,5,4,4,3,3,5,3,5,5,4,3,4,3,4,3,6,4,2,1,0,1,2,0,4,0,3,2,3,2,0,1,4,1,1,2,2,2,2,0,5
Verhees Pieter,Gi Group Monza,3,6,9,14,17,20,23,28,32,35,39,42,46,49,53,56,59,63,66,70,74,79,83,87,90,95,1,4,7,8,8,10,12,17,21,24,26,26,27,28,32,33,33,34,35,38,41,44,47,47,49,53,3,3,3,5,3,3,3,5,4,3,4,3,4,3,4,3,3,4,3,4,4,5,4,4,3,5,1,3,3,1,0,2,2,5,4,3,2,0,1,1,4,1,0,1,1,3,3,3,3,0,2,4
Polo Alberto,Exprivia Molfetta,4,7,11,16,19,23,27,30,35,39,43,47,52,56,59,62,66,67,70,75,80,83,87,91,96,99,7,8,11,15,16,18,19,22,23,24,27,27,28,32,33,35,36,36,38,41,41,42,44,46,47,50,4,3,4,5,3,4,4,3,5,4,4,4,5,4,3,3,4,1,3,5,5,3,4,4,5,3,7,1,3,4,1,2,1,3,1,1,3,0,1,4,1,2,1,0,2,3,0,1,2,2,1,3
Sabbi Giulio,Exprivia Molfetta,4,7,11,16,19,23,27,30,35,39,43,47,52,54,57,60,64,67,72,77,81,84,88,92,97,100,3,4,7,9,10,11,14,15,18,21,26,27,28,28,30,32,34,36,39,41,43,43,43,48,50,50,4,3,4,5,3,4,4,3,5,4,4,4,5,2,3,3,4,3,5,5,4,3,4,4,5,3,3,1,3,2,1,1,3,1,3,3,5,1,1,0,2,2,2,2,3,2,2,0,0,5,2,0
Gotsev Svetoslav,Biosì Indexa Sora,3,6,9,13,16,20,23,26,29,32,37,42,47,47,47,50,53,57,61,66,70,70,72,76,79,82,1,4,5,6,9,12,14,16,17,21,24,29,31,31,31,32,33,36,37,40,42,42,42,44,46,47,3,3,3,4,3,4,3,3,3,3,5,5,5,0,0,3,3,4,4,5,4,0,2,4,3,3,1,3,1,1,3,3,2,2,1,4,3,5,2,0,0,1,1,3,1,3,2,0,0,2,2,1
